DOIs,degrees_1,page_rank_1,bfs_moments_2,closeness_1,motifs_3_2,Meta
sex,0.064838572,0.064877003,0.08100075,0.069815339,0.042015562,Stability
love,0.083815335,0.093358762,0.119372364,0.071814357,0.036713386,Plasticity
internet,0.047131163,0.049518638,0.050583967,0.048335308,0.028839807,Plasticity
drawing,0.062782619,0.075096909,0.082208632,0.06205672,0.024808348,Plasticity
fantasy,0.072236083,0.07035384,0.052921331,0.091178141,0.051595601,Plasticity
books,0.109760252,0.112632165,0.099157684,0.114933856,0.066402504,Plasticity
literature,0.06200179,0.059640636,0.050491898,0.073941663,0.047269564,Plasticity
drinking,0.02462683,0.038632873,0.047605468,0.003944288,-0.010730233,Stability
sleep,0.055860423,0.067351448,0.068010862,0.035908265,0.012001314,Stability
tv,0.022124275,0.03252226,0.046787,0.012683571,-0.000167753,Stability
video games,0.057239802,0.074084638,0.074769227,0.045108031,0.010883262,Plasticity
anime,0.073390516,0.073796275,0.079800747,0.096723121,0.053383559,Plasticity
life,0.04210638,0.04934346,0.054928742,0.034027649,0.014166508,Stability
manga,0.059055775,0.048816531,0.059171598,0.08861282,0.064650505,Plasticity
cats,0.093334977,0.096537564,0.077215935,0.09389874,0.055844398,Stability
reading,0.106080179,0.124116429,0.11035669,0.100434752,0.042929429,Plasticity
movies,0.080321466,0.122455125,0.137513675,0.032764536,-0.018864524,Stability
poetry,0.072012843,0.086240425,0.096469641,0.066094452,0.026490455,Plasticity
computers,0.051401389,0.077596656,0.072925162,0.028990962,-0.010095105,Plasticity
laughing,0.059996191,0.078226091,0.085897989,0.022006206,-0.000564468,Stability
sleeping,0.071870739,0.0934345,0.099179935,0.031124864,0.003109258,Stability
